algorithm,n,case,run,leader_id,expected_leader_id,message_count,phases,correct
Peterson,3,ascending,1,3,3,9,2,true
Peterson,3,descending,1,3,3,9,2,true
Peterson,3,random,1,3,3,9,2,true
Peterson,3,random,2,3,3,9,2,true
Peterson,3,random,3,3,3,9,2,true
Peterson,3,random,4,3,3,9,2,true
Peterson,3,random,5,3,3,9,2,true
Peterson,5,ascending,1,5,5,15,2,true
Peterson,5,descending,1,5,5,15,2,true
Peterson,5,random,1,5,5,25,3,true
Peterson,5,random,2,5,5,25,3,true
Peterson,5,random,3,5,5,15,2,true
Peterson,5,random,4,5,5,25,3,true
Peterson,5,random,5,5,5,25,3,true
Peterson,10,ascending,1,10,10,30,2,true
Peterson,10,descending,1,10,10,30,2,true
Peterson,10,random,1,10,10,50,3,true
Peterson,10,random,2,10,10,50,3,true
Peterson,10,random,3,10,10,50,3,true
Peterson,10,random,4,10,10,50,3,true
Peterson,10,random,5,10,10,50,3,true
Peterson,50,ascending,1,50,50,150,2,true
Peterson,50,descending,1,50,50,150,2,true
Peterson,50,random,1,50,50,450,5,true
Peterson,50,random,2,50,50,350,4,true
Peterson,50,random,3,50,50,450,5,true
Peterson,50,random,4,50,50,450,5,true
Peterson,50,random,5,50,50,450,5,true
Peterson,100,ascending,1,100,100,300,2,true
Peterson,100,descending,1,100,100,300,2,true
Peterson,100,random,1,100,100,900,5,true
Peterson,100,random,2,100,100,900,5,true
Peterson,100,random,3,100,100,1100,6,true
Peterson,100,random,4,100,100,900,5,true
Peterson,100,random,5,100,100,1100,6,true
Peterson,500,ascending,1,500,500,1500,2,true
Peterson,500,descending,1,500,500,1500,2,true
Peterson,500,random,1,500,500,6500,7,true
Peterson,500,random,2,500,500,6500,7,true
Peterson,500,random,3,500,500,6500,7,true
Peterson,500,random,4,500,500,6500,7,true
Peterson,500,random,5,500,500,5500,6,true
Peterson,1000,ascending,1,1000,1000,3000,2,true
Peterson,1000,descending,1,1000,1000,3000,2,true
Peterson,1000,random,1,1000,1000,13000,7,true
Peterson,1000,random,2,1000,1000,13000,7,true
Peterson,1000,random,3,1000,1000,13000,7,true
Peterson,1000,random,4,1000,1000,15000,8,true
Peterson,1000,random,5,1000,1000,13000,7,true
